country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Singapore,SGP,1/31/2021,155050,155000,50,,10547,2.65,2.65,0,1803,Pfizer/BioNTech,Ministry of Health,https://www.moh.gov.sg/news-highlights/details/second-covid-19-vaccine-authorised-for-use-in-singapore
Slovakia,SVK,1/31/2021,143098,133675,9423,281,6247,2.62,2.45,0.17,1144,Pfizer/BioNTech,Ministry of Health,https://covid-19.nczisk.sk
Slovenia,SVN,1/31/2021,78285,53415,24870,2,2385,3.77,2.57,1.2,1147,Pfizer/BioNTech,"National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
Spain,ESP,1/31/2021,1609261,1251369,357892,,53095,3.44,2.68,0.77,1136,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210204.ods
Sri Lanka,LKA,1/31/2021,59154,,,21329,19718,0.28,,,921,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/Rumindahg/status/1357745308390875137
Sweden,SWE,1/31/2021,,,,,6960,,,,689,Pfizer/BioNTech,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,1/31/2021,315033,,,,16809,3.64,,,1942,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses
Turkey,TUR,1/31/2021,1986237,,,25377,105941,2.36,,,1256,Sinovac,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
United Arab Emirates,ARE,1/31/2021,3334162,3084162,250000,219995,120910,33.71,31.18,2.53,12225,"Pfizer/BioNTech, Sinopharm",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
United Kingdom,GBR,1/31/2021,9790576,9296367,494209,322194,392361,14.42,13.69,0.73,5780,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
United States,USA,1/31/2021,31123299,25201143,5657142,1545397,1324949,9.31,7.54,1.69,3962,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
Wales,,1/31/2021,417147,416306,841,12898,20824,13.23,13.2,0.03,6605,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
